run_name,method,tier,owner,category,dataset,split,seed,config_hash,git_sha,dirty,resolution,n_train,n_validation,n_test,image_auroc,image_aupr,f1max_oracle,fpr_at_op1,recall_at_op1,pixel_auroc,aupro_005,aupro_030,segf1_3sigma,iou_3sigma,threshold_op1,threshold_3sigma,threshold_source,oracle_flag,fit_seconds,predict_seconds,latency_per_image_ms,escape_by_defect,fit_extra,notes
pixel_pca-macaroni2-s0,pixel_pca,T0,own,macaroni2,visa,test,0,b10c120150962d63,a27ecb1d634e,True,256,765,135,200,0.7339,0.7077963385373537,0.7340823970037453,0.01,0.06,0.8899576627746468,0.17655311334488424,0.6030936976904063,0.006025892078375878,0.0030220513167329125,0.3307662010192871,1.2377908321066522,validation,False,10.281301099999837,5.555225099999916,27.77612549999958,anomaly=0.940,explained_variance_ratio=0.48032817244529724;n_components=16;normalizer_bounds=7.041e-05..2.575;oracle_f1max_threshold=0.231844,
pixel_pca-macaroni2-s1,pixel_pca,T0,own,macaroni2,visa,test,1,b10c120150962d63,a27ecb1d634e,True,256,765,135,200,0.7339,0.7077963385373537,0.7340823970037453,0.01,0.06,0.8899576627746468,0.17655311334488424,0.6030936976904063,0.006025892078375878,0.0030220513167329125,0.3307662010192871,1.2377908321066522,validation,False,10.365880800000014,5.539886400000796,27.69943200000398,anomaly=0.940,explained_variance_ratio=0.48032817244529724;n_components=16;normalizer_bounds=7.041e-05..2.575;oracle_f1max_threshold=0.231844,
pixel_pca-macaroni2-s2,pixel_pca,T0,own,macaroni2,visa,test,2,b10c120150962d63,a27ecb1d634e,True,256,765,135,200,0.7339,0.7077963385373537,0.7340823970037453,0.01,0.06,0.8899576627746468,0.17655311334488424,0.6030936976904063,0.006025892078375878,0.0030220513167329125,0.3307662010192871,1.2377908321066522,validation,False,10.263823500000399,5.575712199999543,27.878560999997717,anomaly=0.940,explained_variance_ratio=0.48032817244529724;n_components=16;normalizer_bounds=7.041e-05..2.575;oracle_f1max_threshold=0.231844,
random-capsules-s0,random,T0,own,capsules,visa,test,0,b10c120150962d63,a27ecb1d634e,True,256,461,81,160,0.49466666666666664,0.6016649101255931,0.7692307692307693,0.0,0.0,0.5104411542432628,0.025911665159562336,0.16303177888675616,0.0007436391132429732,0.00037195785782726584,0.9989520112358804,0.8088039007175688,validation,False,6.3537733000002845,4.530133199999909,28.313332499999433,anomaly=1.000,normalizer_bounds=0.03201..0.9357;oracle_f1max_threshold=0.00519677;seed=0,
random-capsules-s1,random,T0,own,capsules,visa,test,1,b10c120150962d63,a27ecb1d634e,True,256,461,81,160,0.5143333333333333,0.6399718147950604,0.7698412698412699,0.0,0.0,0.5050169499333887,0.028135678653991535,0.15787374042703542,0.000696789990535812,0.0003485164166432332,0.9985595479373718,0.8090409963305389,validation,False,6.0395480999995925,4.477009899999757,27.981311874998482,anomaly=1.000,normalizer_bounds=0.06227..0.9242;oracle_f1max_threshold=0.0562054;seed=1,
random-capsules-s2,random,T0,own,capsules,visa,test,2,b10c120150962d63,a27ecb1d634e,True,256,461,81,160,0.5056666666666667,0.632883317851002,0.7722007722007722,0.05,0.01,0.5075773824113244,0.027600253820612607,0.1534250918422765,0.0006661289743246466,0.0003331754560747358,0.9852401516576733,0.809437486253747,validation,False,6.04178789999969,4.524341999999706,28.27713749999816,anomaly=0.990,normalizer_bounds=0.06654..0.9232;oracle_f1max_threshold=0.0104456;seed=2,
mean_intensity-capsules-s0,mean_intensity,T0,own,capsules,visa,test,0,b10c120150962d63,a27ecb1d634e,True,256,461,81,160,0.5045000000000001,0.694447180314135,0.7692307692307693,0.0,0.01,0.47967332470201124,0.054042564842406,0.20374659188034186,0.012373961060215205,0.006225497562315885,3.7990256010629597,2.7625303436156603,validation,False,6.044586699999854,4.458518700000241,27.865741875001504,anomaly=0.990,normalizer_bounds=0.01904..3.799;oracle_f1max_threshold=0.0168159;train_mean=0.1395952578973926;train_std=0.07658689138065093,
mean_intensity-capsules-s1,mean_intensity,T0,own,capsules,visa,test,1,b10c120150962d63,a27ecb1d634e,True,256,461,81,160,0.5045000000000001,0.694447180314135,0.7692307692307693,0.0,0.01,0.47967332470201124,0.054042564842406,0.20374659188034186,0.012373961060215205,0.006225497562315885,3.7990256010629597,2.7625303436156603,validation,False,6.058945600000698,4.434497899999769,27.715611874998558,anomaly=0.990,normalizer_bounds=0.01904..3.799;oracle_f1max_threshold=0.0168159;train_mean=0.1395952578973926;train_std=0.07658689138065093,
mean_intensity-capsules-s2,mean_intensity,T0,own,capsules,visa,test,2,b10c120150962d63,a27ecb1d634e,True,256,461,81,160,0.5045000000000001,0.694447180314135,0.7692307692307693,0.0,0.01,0.47967332470201124,0.054042564842406,0.20374659188034186,0.012373961060215205,0.006225497562315885,3.7990256010629597,2.7625303436156603,validation,False,6.068384900000638,4.442694399999709,27.766839999998183,anomaly=0.990,normalizer_bounds=0.01904..3.799;oracle_f1max_threshold=0.0168159;train_mean=0.1395952578973926;train_std=0.07658689138065093,
histogram-capsules-s0,histogram,T0,own,capsules,visa,test,0,b10c120150962d63,a27ecb1d634e,True,256,461,81,160,0.5538333333333333,0.7125031527752546,0.7751937984496124,0.0,0.01,0.4942115726261854,0.05241712657712658,0.19958533653846153,0.008528912273206868,0.004282719606510771,0.04486433123888334,0.026759407022210958,validation,False,6.474050599999828,4.627985900000567,28.924911875003545,anomaly=0.990,bins=64;normalizer_bounds=0.001063..0.04486;oracle_f1max_threshold=0.00114705,
histogram-capsules-s1,histogram,T0,own,capsules,visa,test,1,b10c120150962d63,a27ecb1d634e,True,256,461,81,160,0.5538333333333333,0.7125031527752546,0.7751937984496124,0.0,0.01,0.4942115726261854,0.05241712657712658,0.19958533653846153,0.008528912273206868,0.004282719606510771,0.04486433123888334,0.026759407022210958,validation,False,6.47433269999965,4.610743799999909,28.817148749999433,anomaly=0.990,bins=64;normalizer_bounds=0.001063..0.04486;oracle_f1max_threshold=0.00114705,
histogram-capsules-s2,histogram,T0,own,capsules,visa,test,2,b10c120150962d63,a27ecb1d634e,True,256,461,81,160,0.5538333333333333,0.7125031527752546,0.7751937984496124,0.0,0.01,0.4942115726261854,0.05241712657712658,0.19958533653846153,0.008528912273206868,0.004282719606510771,0.04486433123888334,0.026759407022210958,validation,False,6.436258099999577,4.6139870999995765,28.837419374997353,anomaly=0.990,bins=64;normalizer_bounds=0.001063..0.04486;oracle_f1max_threshold=0.00114705,
pixel_pca-capsules-s0,pixel_pca,T0,own,capsules,visa,test,0,b10c120150962d63,a27ecb1d634e,True,256,461,81,160,0.7888333333333334,0.8583834729214487,0.8209606986899564,0.0,0.08,0.7388360447119147,0.1188296920189188,0.3714340642978345,0.04057175869995014,0.020705917085808365,0.33610373735427856,0.9540167644174805,validation,False,6.271920799999862,4.497325899999851,28.108286874999067,anomaly=0.920,explained_variance_ratio=0.2683050334453583;n_components=16;normalizer_bounds=0.0001943..1.983;oracle_f1max_threshold=0.274965,
pixel_pca-capsules-s1,pixel_pca,T0,own,capsules,visa,test,1,b10c120150962d63,a27ecb1d634e,True,256,461,81,160,0.7888333333333334,0.8583834729214487,0.8209606986899564,0.0,0.08,0.7388360447119147,0.1188296920189188,0.3714340642978345,0.04057175869995014,0.020705917085808365,0.33610373735427856,0.9540167644174805,validation,False,6.292896599999949,4.524957099999483,28.28098187499677,anomaly=0.920,explained_variance_ratio=0.2683050334453583;n_components=16;normalizer_bounds=0.0001943..1.983;oracle_f1max_threshold=0.274965,
pixel_pca-capsules-s2,pixel_pca,T0,own,capsules,visa,test,2,b10c120150962d63,a27ecb1d634e,True,256,461,81,160,0.7888333333333334,0.8583834729214487,0.8209606986899564,0.0,0.08,0.7388360447119147,0.1188296920189188,0.3714340642978345,0.04057175869995014,0.020705917085808365,0.33610373735427856,0.9540167644174805,validation,False,6.322071700000379,4.502044200000455,28.137776250002844,anomaly=0.920,explained_variance_ratio=0.2683050334453583;n_components=16;normalizer_bounds=0.0001943..1.983;oracle_f1max_threshold=0.274965,
